序号,网页名字,网址,网页介绍,标签1,标签2,标签3,标签4,一级分类,二级分类
1,iOS限免Mergeek,https://mergeek.com/free/apps,Mergeek社区聚合iOS App限免信息，每日更新免费与打折应用,iOS,限免,App优惠,,软件下载网站,iOS软件
2,反斗限免,https://free.apprcn.com/category/ios/,专业iOS限免应用追踪站，汇总每日AppStore免费应用资讯,iOS,免费App,限时优惠,,软件下载网站,iOS软件
3,iPA商店,https://ipa.store/,提供iOS IPA安装包资源下载，含大量正版应用的备用安装源,IPA,iOS安装包,应用商店,,软件下载网站,iOS软件
4,GoFans限免,https://m.gofans.cn/,Apple正版软件限免与优惠信息聚合平台，支持移动端浏览,限免,Apple,优惠活动,,软件下载网站,iOS软件
5,IPA在线签名,https://sign.ipadump.com/#/home/esign?cType=a12,在线IPA签名工具，无需越狱即可将IPA文件签名安装到iOS设备,IPA签名,免越狱,安装工具,,软件下载网站,iOS软件
6,RoutineHub快捷指令,https://routinehub.co/,苹果iOS快捷指令分享社区，提供数千种自动化快捷指令下载,快捷指令,自动化,效率工具,,软件下载网站,iOS软件
7,油小猴安装教程,https://www.youxiaohou.com/zh-cn/crx.html,详细讲解如何安装CRX浏览器扩展，适合各浏览器版本的安装指南,浏览器扩展,安装教程,CRX,,软件下载网站,浏览器插件
8,GFork油猴镜像,https://home.greasyfork.org.cn/zh-hans,Greasy Fork国内加速镜像站，提供用户脚本下载，访问更流畅,油猴脚本,国内镜像,用户脚本,,软件下载网站,浏览器插件
9,插件小屋,https://www.chajianxw.com/,Chrome插件离线安装包下载站，支持CRX格式扩展离线安装,Chrome插件,离线安装,扩展下载,,软件下载网站,浏览器插件
10,找脚本,https://www.zhaojiaoben.cn/,专注于用户脚本搜索与分享，汇聚各类浏览器脚本资源,用户脚本,脚本搜索,油猴,,软件下载网站,浏览器插件
11,蓝鲨应用库,https://www.lsapk.com/,综合性Android APK下载站，提供大量第三方应用和工具下载,APK下载,安卓应用,软件库,,软件下载网站,PC与安卓软件
12,异星软件空间,https://www.yxssp.com/,专注分享精品软件与特色体验的独立软件站，资源丰富,精品软件,绿色应用,工具下载,,软件下载网站,PC与安卓软件
13,吾爱破解,https://www.52pojie.cn/,国内最大的软件破解与逆向分析社区，分享破解版软件与技术,破解软件,逆向分析,技术社区,,软件下载网站,PC与安卓软件
14,行书指南,https://xszn.org/zh/,免费和开源软件列表汇总站，为用户推荐优质开源替代品,开源软件,免费替代,软件推荐,,软件下载网站,PC与安卓软件
15,软仓,https://www.ruancang.net/,提供Adobe、CAD等专业设计软件的破解版下载，含详细安装教程,Adobe破解,专业软件,设计软件,,软件下载网站,PC与安卓软件
16,夸克安卓软件库,https://pan.quark.cn/s/27b761f0bd04#/list/share,夸克网盘共享的安卓软件库，持续更新各类安卓应用资源,安卓软件,夸克网盘,持续更新,,软件下载网站,PC与安卓软件
17,夸克电脑软件库,https://pan.quark.cn/s/53f4b769b034#/list/share,夸克网盘共享的Windows电脑软件库，含各类常用软件,电脑软件,夸克网盘,Windows,,软件下载网站,PC与安卓软件
18,蓝奏GG网盘,https://ypziyuanshare.lanzoul.com/b0epegxzi,蓝奏云GG网盘资源分享合集，含常用绿色软件资源,蓝奏云,网盘分享,软件合集,,软件下载网站,PC与安卓软件
19,未知影视搜索,https://projext.run/,聚合搜索全网影视资源，在线播放，无广告秒加载的影视搜索引擎,聚合搜索,无广告,在线播放,,影视音乐游戏,在线影视
20,Moovie影牛,https://moovie.c2v2.com/,电影发现与推荐平台，帮助用户找到下一部想看的好电影,电影推荐,发现好片,选片助手,,影视音乐游戏,在线影视
21,小狐搜搜,https://uuyue.top/,影视网盘资源搜索平台，一键检索电影电视剧番剧短剧资源,网盘搜索,影视资源,聚合检索,,影视音乐游戏,在线影视
22,XCloud影视,https://www.xcloudv.top/,提供VIP视频解析与在线观看服务的综合影视站,VIP解析,在线观看,影视站,,影视音乐游戏,在线影视
23,M3U8在线播放,https://m3u8-player.net/zh/,支持M3U8格式的在线播放器，可下载转换为MP4格式,M3U8播放,视频转换,在线工具,,影视音乐游戏,在线影视
24,全能VIP解析,https://tool.liumingye.cn/video/,刘明野工具箱提供的全能VIP视频在线解析工具，支持多平台,VIP解析,免费观看,多平台,,影视音乐游戏,在线影视
25,星河影视,https://www.xinghetv.cc/,免费在线观看电影电视剧动漫综艺，高清无广告，海量弹幕,免费观看,高清无广告,弹幕,,影视音乐游戏,在线影视
26,爱壹帆,https://www.iyf.lv/,海量高清视频免费在线观看平台，内容丰富无需登录,免费高清,在线观看,综合影视,,影视音乐游戏,在线影视
27,泥视频,https://www.nivod.vip/,海外华人在线影院，收录大量中文影视内容，适合海外用户,海外华人,在线影院,中文影视,,影视音乐游戏,在线影视
28,光速影视,https://www.4kzaixian.top/,4K高清在线影视平台，提供电影电视剧流畅在线观看,4K高清,在线影视,流畅播放,,影视音乐游戏,在线影视
29,A控屋恐怖站,https://akongwu.com/,专注恐怖惊悚类电影分享的垂直站点，为恐怖片爱好者服务,恐怖电影,惊悚影视,垂直站点,,影视音乐游戏,在线影视
30,港剧天堂,https://www.gjtt.net/,专注经典怀旧港剧资源收录，粤语原版港片港剧在线观看,港剧,粤语,怀旧经典,,影视音乐游戏,在线影视
31,AGE动漫,https://m.agedm.io/#/,专业动漫在线观看平台，提供大量国内外动漫高清资源,日本动漫,国产动漫,番剧,,影视音乐游戏,在线动漫
32,AcFun弹幕,https://m.acfun.cn/,A站弹幕视频网站，有大量ACG相关内容与弹幕互动功能,弹幕视频,ACG,互动社区,,影视音乐游戏,在线动漫
33,OmoFun动漫,https://fb.omoo.tv/,高质量动漫在线观看站，提供多种字幕版本与清晰度选择,动漫字幕,高清番剧,在线观看,,影视音乐游戏,在线动漫
34,次元城动画,https://www.cycani.org/,海量蓝光番剧免费观看站，专注二次元动画资源收录,蓝光番剧,免费观看,二次元,,影视音乐游戏,在线动漫
35,饭团动漫,https://fantuantv.com/,ACG综合平台，提供动漫、漫画等二次元内容在线观看,ACG平台,动漫漫画,二次元,,影视音乐游戏,在线动漫
36,央视片库,https://tv.cctv.com/yxg/index.shtml#datacid=jlp,CCTV官方纪录片库，收录中央电视台出品的经典纪录片资源,央视纪录片,官方资源,CCTV,,影视音乐游戏,纪录片
37,中国纪录片网,http://www.docuchina.cn/,国家级纪录片新媒体综合运营平台，汇聚国产纪录片资源,国产纪录片,官方平台,文化纪录,,影视音乐游戏,纪录片
38,每天一小时纪录片,https://www.onehourlife.com/,精选必看纪录片下载推荐站，经典纪录片收藏与推荐,纪录片下载,经典推荐,精品收藏,,影视音乐游戏,纪录片
39,公开课纪录片下载,https://opclass.com/,提供公开课与纪录片下载服务，适合学习与研究使用,公开课,纪录片下载,学习资源,,影视音乐游戏,纪录片
40,短剧资源网,https://www.djzyw.com/,收录最新热门短剧的资源站，提供夸克/百度网盘短剧资源,短剧下载,网盘资源,热门短剧,,影视音乐游戏,短剧资源
41,短剧库,https://so.duanjuku.top/,天天短剧聚合平台，短剧搜索与网盘链接一键获取,短剧搜索,聚合平台,一键获取,,影视音乐游戏,短剧资源
42,柠檬体育直播,https://ningmengzhibo.tv/,提供NBA、英超、足球等体育赛事高清直播服务,体育直播,NBA直播,足球直播,,影视音乐游戏,在线直播
43,说球帝直播,https://jzbh2r6t.jskaba.com/,说球帝体育直播平台，24小时实时直播足球篮球五大联赛,体育直播,篮球足球,实时直播,,影视音乐游戏,在线直播
44,云听电台,https://www.radio.cn/pc-portal/erji/radioStation.html,央广网官方声音平台，提供全国电台直播与回听、相声评书等,电台直播,评书相声,央广网,,影视音乐游戏,在线直播
45,502book小说搜索,https://502book.com/,免费小说搜索引擎，聚合多平台小说资源，一键搜索阅读,小说搜索,免费阅读,聚合搜索,,影视音乐游戏,在线小说
46,owllook小说搜索,https://owlook.com.cn/,网络小说搜索引擎，简洁清新的搜索与阅读体验,小说搜索,阅读体验,清新界面,,影视音乐游戏,在线小说
47,顶点小说,https://m.blqvdu.cc/,无弹窗无广告小说在线阅读平台，海量网络小说免费阅读,无广告,免费阅读,网络小说,,影视音乐游戏,在线小说
48,1Music高品质,https://1music.cc/zh-CN,免费高品质音乐下载，支持FLAC/MP3格式，含WebDAV上传功能,无损音乐,FLAC下载,高品质,,影视音乐游戏,音乐下载
49,歌曲海,https://www.gequhai.com/,海量高品质MP3音乐免费下载站，一键搜索找好歌,MP3下载,免费音乐,高品质,,影视音乐游戏,音乐下载
50,铜钟音乐,https://tonzhon.com/,免费音乐下载平台，提供MP3歌曲高品质下载与在线试听,MP3下载,免费音乐,在线试听,,影视音乐游戏,音乐下载
51,Wandhi多站音乐,https://music.wandhi.com/,多站合一音乐搜索平台，聚合多个音乐平台在线试听,多站聚合,音乐搜索,在线试听,,影视音乐游戏,音乐下载
52,歌曲宝,https://www.gequbao.com/,MP3音乐高品质在线免费下载站，找歌就用歌曲宝,MP3下载,免费音乐,高品质,,影视音乐游戏,音乐下载
53,枫叶音乐盒,https://mu-jie.cc/musicBox/#/,在线音乐播放器，支持多平台音乐播放，界面简洁优雅,在线播放器,多平台音乐,简洁界面,,影视音乐游戏,音乐下载
54,搜漫搜索,https://www.hisoman.com/,在线漫画搜索引擎，聚合多平台漫画资源一键搜索,漫画搜索,聚合平台,在线阅读,,影视音乐游戏,在线漫画
55,COLAMANGA,https://www.colamanga.com/,提供优质漫画阅读体验的在线漫画平台，收录丰富漫画内容,漫画平台,优质体验,在线阅读,,影视音乐游戏,在线漫画
56,Dialogue动漫台词,https://dialogue.moe/,通过台词搜索原版动漫片段的工具，支持精准台词匹配,台词搜索,动漫片段,精准匹配,,影视音乐游戏,影视工具
57,33台词搜索,https://33tc.net/,电影台词搜索引擎，输入记忆中的台词找到对应电影场景,台词搜索,电影片段,场景定位,,影视音乐游戏,影视工具
58,Switch520游戏,https://www.gamer520.com/,Switch游戏下载站，提供大量NS游戏ROM资源免费下载,Switch游戏,NS游戏,游戏下载,,影视音乐游戏,游戏下载
59,上游世界,https://www.vgter.net/,Switch/PS4等主机游戏下载平台，提供中文游戏资源,主机游戏,Switch,PS4游戏,,影视音乐游戏,游戏下载
60,掌机迷GBA游戏,https://www.gbarom.cn/,专注中古掌机游戏网站，收录GBA/PSP/NDS等经典掌机ROM,GBA游戏,掌机ROM,经典游戏,,影视音乐游戏,游戏下载
61,Free GOG游戏,https://freegogpcgames.com/,免费GOG PC游戏下载，提供无DRM限制的完整游戏资源,PC游戏,GOG游戏,无DRM,,影视音乐游戏,游戏下载
62,小霸王在线游戏,https://www.yikm.net/,在线游玩FC红白机经典游戏，支持超级马里奥等经典NES游戏,FC游戏,在线游玩,经典红白机,,影视音乐游戏,网页游戏
63,Poki在线游戏,https://poki.com/zh,免费在线小游戏平台，无需注册即可玩数千款网页游戏,在线小游戏,免费游戏,网页游戏,,影视音乐游戏,网页游戏
64,汉兜汉字Wordle,https://handle.antfu.me/,汉字版Wordle猜词游戏，通过猜测四字成语来挑战汉语能力,益智游戏,汉字猜词,成语游戏,,影视音乐游戏,网页游戏
65,在线打CS,https://play-cs.com/,在线玩CS经典射击游戏，无需安装，打开浏览器即可游玩,CS游戏,在线射击,免安装,,影视音乐游戏,网页游戏
66,红色警戒在线版,https://game.chronodivide.com/,经典即时战略游戏红色警戒的网页在线版，无需下载安装,红色警戒,即时战略,在线游玩,,影视音乐游戏,网页游戏
67,3DM游戏攻略,https://m.3dmgame.com/gl/,3DM提供的单机游戏攻略大全，覆盖主流PC游戏详细攻略,游戏攻略,单机游戏,3DM,,影视音乐游戏,游戏资讯
68,ASMR第一站,https://asmr1.com/,ASMR内容导航站，收录全球ASMR创作者网址与资源,ASMR,助眠,内容导航,,影视音乐游戏,ASMR
69,英语音标学习,https://www.yyybabc.com/,英语48个音标免费学习平台，含音频示范与跟读练习功能,英语音标,发音学习,免费教程,,教育资源汇总,外语学习
70,EngLearner英语导航,https://www.englearner.site/cn/index.html,英语学习工具导航网站，汇聚各类英语学习资源与工具,英语工具,学习导航,资源汇总,,教育资源汇总,外语学习
71,新概念英语在线,https://nce.luzhenhua.cn/,新概念英语四册全收录，支持在线点读与跟读练习,新概念英语,点读跟读,英语学习,,教育资源汇总,外语学习
72,巴别英语,https://www.babelabc.com/,通过看视频来学英语的沉浸式英语学习平台,视频学英语,沉浸式学习,英语教育,,教育资源汇总,外语学习
73,Loecsen多语言,https://www.loecsen.com/zh,支持50种语言的免费在线语言学习平台，适合旅行者入门,多语言,语言学习,50种语言,,教育资源汇总,外语学习
74,故宫数字文物库,https://digicol.dpm.org.cn/,故宫博物院官方数字文物库，在线浏览海量故宫珍藏文物,故宫文物,数字博物馆,历史文化,,教育资源汇总,文化历史
75,识典古籍,https://www.shidianguji.com/,古籍在线阅读平台，提供中华经典典籍的数字化阅读服务,古籍阅读,数字典籍,中华经典,,教育资源汇总,文化历史
76,全球纸币博物馆,http://www.banknote.ws/,收录全球各国纸币图片的在线博物馆，货币历史文化百科,钱币博物馆,纸币收藏,货币历史,,教育资源汇总,文化历史
77,菜鸟教程,https://www.runoob.com/,国内最受欢迎的编程学习网站，提供Python/Java/前端等教程,编程教程,入门学习,多语言,,教育资源汇总,编程开发
78,W3School教程,https://www.w3school.com.cn/,面向初学者的Web技术学习平台，HTML/CSS/JavaScript系统教程,Web开发,HTML教程,入门编程,,教育资源汇总,编程开发
79,OfferNow编程求职,https://offernow.cn/,AI时代程序员进阶指南，提供编程学习与求职一体化平台,程序员求职,编程进阶,AI时代,,教育资源汇总,编程开发
80,万方免费查重,https://chsi.wanfangtech.net/,万方数据提供的论文免费查重服务，应届生可免费使用一次,论文查重,万方数据,免费服务,,教育资源汇总,学术科研
81,Sci-Hub镜像导航,https://ifish.fun/paper/search?imyshare.com=friends,Sci-Hub有效可用镜像地址实时更新，免费获取学术论文,SciHub,学术论文,免费下载,,教育资源汇总,学术科研
82,谷歌学术镜像,https://ac.ruanmao.net/,谷歌学术国内镜像导航站，无需翻墙访问Google Scholar,谷歌学术,镜像导航,文献搜索,,教育资源汇总,学术科研
